Distance,Duration,Tip_amount,Probability
2,633.9641901,3.421158682,0.24534947
3,830.4852381,3.772019014,0.231748054
4,993.825598,3.974997505,0.224495283
5,1103.058343,4.248183474,0.225899385
6,1220.157924,4.557499449,0.229807333
7,1316.404219,4.794154274,0.230149966
8,1418.591649,5.045720607,0.228589188
9,1523.364249,5.387315968,0.227460072
10,1654.667341,5.891267123,0.222982002
11,1769.874147,6.578190971,0.251331551
12,1903.302249,6.964304837,0.267951508
13,1985.370819,7.587527352,0.306278274
14,2159.291217,7.878912171,0.301981798
15,2259.169849,8.183763554,0.296793119
16,2283.878895,8.356607495,0.274281386
17,2327.2028,9.228471412,0.331596461
18,2451.729024,10.31015356,0.427336352
19,2567.211731,10.40025319,0.392001985
20,2694.222739,9.773271277,0.335639366
21,2819.617574,10.51974386,0.373803191
22,2879.433078,10.10898662,0.311124331
23,2991.994393,9.962616822,0.273797339
24,2839.644928,9.683574879,0.269005848
25,2893.129952,10.55467512,0.294722092
26,2976.742857,10.74857143,0.312128419
27,2945.11215,11.42679128,0.297497683
28,3030.860606,12.02424242,0.271828666
29,3113.313253,11.27710843,0.218421053
30,3042.257732,12.84536082,0.332191781
31,2822.833333,11.59090909,0.333333333
32,2993.434783,12.89130435,0.298701299
33,3178.961538,11.69230769,0.228070175
34,3170.333333,11.27777778,0.206896552
35,3752.5,13.625,0.228571429
